Name,Description,ShortName,Status,Email,WebsiteKey,ProfileUrl,Categories,Summary
African Inclusivity and Solidarity Association (formerly Organization of African Students) 💙,"The African Inclusivity an Solidarity Association formally known as Organization of African Students at UC Berkeley is a space to learn, share and engage on the opportunities and challenges of African continent and its diaspora. We are committed to: Strengthening relationships among students of African descent and facilitating their academic and professional excellence Maintaining a platform of pertinent discussions about the pressing issues of the African continent, and brainstorming on innovative solutions to address them Supporting students of African descent planning to attend the University of California, Berkeley Challenging the stereotypes about Africa and celebrating the richness and cultural diversity of the African continent on the Berkeley campus We are ASUC Sponsored per SB 121 since 10-31-12. This group African Inclusivity and Solidarity Association was formerly named Organization of African Students at Berkeley - [10/27/23] [LL]",AISA,Active,,aisa,https://callink.berkeley.edu/organization/aisa,"ASUC Sponsored 2025-26-Student Activity Groups, Cultural & Identity/International Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category, Black/African American Student Community","We are the African Inclusivity & Solidarity Association or AISA, formerly known as The Organization of African Students at UC Berkeley."
African Maghreb Student Union,"The organization would be a center to host cultural events, serve as a safe space for students of this minority Maghreb background on campus, and foster academically-relevant conversations between these students.",AMSU,Active,,africanmaghrebstudentunion,https://callink.berkeley.edu/organization/africanmaghrebstudentunion,"Cultural & Identity/International Student Organizations, Undergraduate Organizations, Black/African American Student Community","African Maghreb Student Union connects students with other Maghrebi-identifying students (the Maghreb countries include Algeria, Tunisia, Libya, Morocco, and Mauritania) culturally, socially, and academically."
AFX Dance 💙,"AFX Dance is a dance group founded by Ping Quach, Geoffrey Chen, and Rosemary Hua in Fall 2011 to give dancers an opportunity to learn about and participate in dance culture, continuously build our community, and positively impact those around us through that process. Our name AFX reflects our three pillars—Aspirations, Family, Experience—and our philosophy of creating a family environment for dancers to build up the confidence and support to reach new heights. With a dance “Company” (competitive/advanced) and “General” (introductory/intermediate) membership, we strive to provide our dancers and leaders with new, fulfilling experiences that will empower them to dive deeper into dance culture; pass it on to the greater community along with our philosophies and values of growth, community, and support; and hold each other accountable in uplifting and amplifying the voices, lives, and experiences of those who have made all of these art forms and experiences possible in the first place.",,Active,,afxdance,https://callink.berkeley.edu/organization/afxdance,"ASUC Sponsored 2025-26-Student Activity Groups, Performing Arts Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage, Blue Heart Initiative Category",AFX Dance is a dance group founded in Fall 2011 at UC Berkeley. AFX Dance is divided into Company (competitive/advanced) and General (introductory/intermediate). AFX Dance also has a technology team focused on improving the operations of AFX Dance.
Aglet Noise Collective 💙,"Nothing is original. Steal from anywhere that moves you. Take what resonates with you, what fuels your imagination, and make something real. Promise to steal in a way that is true to yourself. Collaborate, find new people, put yourself in a room with them. Aglet Noise is a collective for music, art, and experimental collaboration. We organize live events and projects that mix media and defy categories—live sets, performance art, interpretive dance, film, theater, whatever you can think up. We are a space for ideas that don’t fit into neat boxes. If it feels like no one else would put it on, that’s the point. You don’t need to be a professional. You don’t need to set up a coffee chat. You just need an idea, or the desire to help make someone else’s real.",Aglet,Active,,agletnoisecollective,https://callink.berkeley.edu/organization/agletnoisecollective,"Media & Publication Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage, Blue Heart Initiative Category","At Aglet Noise Collective, we aim to develop and promote musicians part of the UC Berkeley music community and the nearby area, by hosting events, promoting artists’ releases and helping artists record and release their songs, along with video content."
Ahlul Bayt Student Association of Berkeley 💙,"The Ahlul Bayt Student Association (ABSA) of Berkeley is a chapter of the ABSA Network. We provide an enriching and supportive environment for UC Berkeley Shi'a students on campus by spreading knowledge and love of the Qur'an and the Ahlul Bayt (AS). Though our organization is catered towards Shi'a students, our events are open to anyone regardless of religious affiliation. ABSA Berkeley is dedicated to nurturing the spiritual and communal lives of Shi'a youth through regular programs, educational events, and service opportunities. Check out our Instagram to stay up-to-date with future events @absaberkeley and check out our new website where we are currently fundraising absaberkeley.org",,Active,,absaberkeley,https://callink.berkeley.edu/organization/absaberkeley,"ASUC Sponsored 2025-26-Student Activity Groups, Spiritual Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category",ABSA
Air Bears - Skydiving Club at Berkeley 💙,"ANYONE can skydive! Come hang, come chat, come experience. Skydiving is safe, fun, and a one of a kind experience. You wont regret it!!!",Air Bears,Active,,airbearssc,https://callink.berkeley.edu/organization/airbearssc,"ASUC Sponsored 2025-26-Student Activity Groups, Recreational Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","To foster a diverse and welcoming group of people and to expose UC Berkeley community members' to the incredible, surreal, live-changing, fear-conquering experience of skydiving."
"Alexander Hamilton Society at Berkeley (Formerly known as Alexander Hamilton Society, The)","Hamiltonians, a renowned group of students, faculty, national policy leaders, and captains of finance and industry, share a conviction, rooted in the history of the last century, that the world is a better, safer, and more prosperous place when the United States is willing and able to lead. We foster constructive debates on college campuses, critical to the intellectual and professional development of a new generation of American leaders. This group [Alexander Hamilton Society at Berkeley] was formerly named [Alexander Hamilton Society, The] - [3/12/25] [AP]",AHS,Active,,alexanderhamiltonsociety,https://callink.berkeley.edu/organization/alexanderhamiltonsociety,"Professional Student Organizations, Undergraduate Organizations","The Alexander Hamilton Society (AHS) is a non-partisan, not-for-profit, national organization that inspires and educates students in the importance of American leadership in the world and launches them into careers in the private and public sectors."
"Allergy Living, Education and Resource Team",,ALERT,Active,,allergylivingeducationresourceteam,https://callink.berkeley.edu/organization/allergylivingeducationresourceteam,"Service Student Organizations, Undergraduate Organizations","Allergy Living, Education & Resource Team (ALERT) is dedicated to fostering a safe and welcoming environment at Berkeley for those with food allergies."
Alpha Chi Omega,"Alpha Chi Omega - Pi Chapter at UC Berkeley Real. Strong. Women. Alpha Chi Omega was founded on October 15, 1885 by seven amazing women at DePauw University in Greencastle, Indiana. Anna Allen, Olive Burnett, Bertha Denison, Amy DuBois, Nellie Gamble, Bessie Grooms, and Estelle Leonard founded Alpha Chi. It was the first, and most likely last, musical fraternity. The group was thus named Alpha, meaning first, and Omega, meaning last, using Chi as a link. The purpose of Alpha Chi Omega was to provide the advancement of the intellectual, social, and moral culture of its members. The Berkeley AXO Pi Chapter was founded on May 7, 1909. Visit us on social media! Website Facebook Instagram Tumblr National Website",,Active,,alphachiomega,https://callink.berkeley.edu/organization/alphachiomega,CalGreeks Panhellenic Council (PHC) Sororities,Alpha Chi Omega : Pi Chapter at UC Berkeley
Alpha Chi Sigma Professional Chemistry Fraternity,"Alpha Chi Sigma is a co-ed professional fraternity on campus that focuses on various fields of chemistry and engineering. We are a close knit community that develops our members professionally and academically. With events such as tutoring sessions, career panels, and outreach with local schools, AXS is for anyone who enjoys chemistry adjacent sciences.",AXS,Active,,alpha-chi-sigma,https://callink.berkeley.edu/organization/alpha-chi-sigma,"Professional Student Organizations, Undergraduate Organizations",Alpha Chi Sigma is a co-ed professional chemistry fraternity offering opportunities for both social bonding and professional development.
Alpha Delta Phi,"====Who We Are====The Alpha Delta Phi California Chapter has been a mainstay of the University of California ever since we first received our charter in 1908. In addition to the immense social gratification Aqua Delt’s privileged brotherhood provides, there are many academic and character building advantages unique to becoming a part of the Alpha Delta Phi. Our novelty and selective chapter size offer the opportunity to cultivate immediate leadership experience and contribute to a fresh and emerging legacy. ====Notable Alumni====-Walter Haas Jr: President and CEO of Levi Strauss & Co.-Allan Sproul: President of the Federal Reserve Bank of New York, namesake of Sproul Hall.-David M. Solomon: Current CEO of Goldman Sachs-Dr. Frederick Allen: Pioneer of Diabetes Research.-2 U.S. Presidents: Franklin D. Roosevelt & Theodore Roosevelt-Francis Julius Bellamy: original author of the Pledge of Allegiance -7 Supreme Court Justices ====Our Mission====We seek to develop potential new members through our national founder, Samuel Eells’ original vision statement: ""a true philosophical spirit looking to the entire man, so as to develop his whole being - moral, social and intellectual.""",,Active,,alphadeltaphi,https://callink.berkeley.edu/organization/alphadeltaphi,"ASUC Sponsored 2025-26-Student Activity Groups, CalGreeks Interfraternity Council (IFC) Fraternities","We are the California Chapter of the Alpha Delta Phi, one of the oldest fraternities in the country, founded in 1832. We strive to develop our whole being, moral, social, and intellectual. This mindset has created iconic social leaders-see notable alumni"
Alpha Delta Pi,"Keep up with Alpha Delta Pi on our social media pages! Find us on: Instagram @caladpi TikTok @caladpiFacebook @ UC Berkeley Alpha Delta Pi Alpha Delta Pi was founded by Eugenia Tucker in 1851 at the Wesleyan Female College in Macon Georgia. It holds the distinction of being the first secret society for women, and therefore the foundation of the entire sorority system, hence our motto- First, Finest, Forever. Psi Chapter of ADPi was founded in Berkeley in 1913- the 23rd national chapter to be established. In 1931, the chapter purchased our current home, 2400 Piedmont Ave. The house was formerly the summer home of notable Bay Area heiress Phoebe Hearst, and was recognized immediately as the showplace of the campus.Since then, the mansion has had several modern conveniences added on, but it still retains its original character. It serves as a charming home to almost sixty girls. With its location on Channing circle, Psi chapter of Alpha Delta Pi lies at the very heart of the present-day Greek community.",,Active,,alphadeltapi,https://callink.berkeley.edu/organization/alphadeltapi,CalGreeks Panhellenic Council (PHC) Sororities,"Alpha Delta Pi was founded by Eugenia Tucker in 1851 at the Wesleyan Female College in Macon Georgia. It holds the distinction of being the first secret society for women, and therefore the foundation of the entire sorority system."
Alpha Epsilon Omega,"Alpha Epsilon Omega, established at the University of California Berkeley in August 2022, holds a mission centered around uniting students dedicated to fostering cultural stimulation on campus. This dedication aims to kindle interest in the Armenian language, history, and culture, all while upholding rigorous standards of academic excellence. The fraternity's objective revolves around nurturing a community where brothers wholeheartedly embrace their culture and heritage through philanthropic, cultural, and professional events. AEΩ has established and will continue fostering a supportive network for its members, contributing significantly to academic and social success. Unity of Strength and Knowledge | Գիտության եվ Հզորության Միություն",,Active,,alphaepsilonomega,https://callink.berkeley.edu/organization/alphaepsilonomega,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,"Alpha Epsilon Omega - a fraternity that is focused on the Armenian community and culture, academic excellence, philanthropy, and social success."
Alpha Epsilon Pi,"We are the Chi Alpha chapter of Alpha Epsilon Pi at the University of California, Berkeley, founded in 1949 and re-founded in 1985. Since our founding, we have been growing constantly. Several brothers hold executive positions in many organizations on campus, including heavy involvement in the Jewish community: ASUC (UC Berkeley's Student Government), Jewish Student Union, TAMID Group, and many others. Along with Jewish leadership, we continue to further our relations with other houses in the Greek system, holding several joint social and philanthropic events on a weekly basis.",,Active,,alphaepsilonpifraternityxachapter,https://callink.berkeley.edu/organization/alphaepsilonpifraternityxachapter,CalGreeks Interfraternity Council (IFC) Fraternities,"We are the Chi Alpha chapter of Alpha Epsilon Pi at the University of California, Berkeley, founded in 1949 and re-founded in 1985. We are developing future leadership for the Jewish community."
"Alpha Epsilon Zeta Fraternity, Inc.","Founded in 2003, Alpha Epsilon Zeta (AEZ) is one of Cal's longest-standing student organizations, with over 160 active and alumni members placed at top firms including Apple, Google, Point72, Blackstone, Carlyle, Goldman Sachs, Moelis, and Lazard as well as elite graduate schools including MIT and Harvard Business School. AEZ is an undergraduate Professional Fraternity that differentiates itself through its multidisciplinary focus, with a proven track record of pushing students to success in whatever field they choose to pursue, whether it is medicine, technology, software engineering, finance, consulting, law, or startups. With weekly professional development training from university faculty and experts in industry, AEZ members are well-rounded and knowledgeable in a variety of fields. Our current brothers also hold leadership positions in a variety of other clubs on campus including Berkeley Investment Group, Berkeley Business Society, Berkeley AI Research (BAIR), Capital Investments at Berkeley, The Berkeley Group, Codeology, and more. Joining AEZ gives students the opportunities and network to explore their interests and further pursue them both in their time at Cal and in their careers. As a part of AEZ, brothers also have the opportunity to work in our elite consulting wing, Paradigm Consulting. Paradigm Consulting delivers top-notch, actionable solutions to the C-Suite of Fortune 500 companies. Past clients include Amazon Web Services, Johnson & Johnson, eBay, Bose, Roblox, and Visa. Come join us for our rush! Visit relevant links here: https:// linktr.ee/aezberkeley Any Questions? Please contact omawate1@berkeley.edu or sreekar_nagul@berkeley.edu.",AEZ,Active,,aez,https://callink.berkeley.edu/organization/aez,"Professional Student Organizations, Undergraduate Organizations","Alpha Epsilon Zeta (AEZ) is an undergraduate professional Fraternity founded in 2003 with over 160 current members and alumni. AEZ differentiates itself with its multidisciplinary members, who push its members to success in every members desired field."
Alpha Gamma Alpha Sorority,"The purpose of this organization is to unify students to work towards the advancement of Armenian causes, our college community, and the greater community, spread and further the Armenian culture and aid in Armenian causes, and guide fellow sorority members in academics, life decisions, and social relationships while building life-long ties.",,Active,,aga,https://callink.berkeley.edu/organization/aga,,"Alpha Gamma Alpha is a sorority focused on the Armenian community, established at Berkeley in 2024."
Alpha Gamma Omega,"Alpha Gamma Omega (ΑΓΩ or ""AGO"") is a national, Christ-centered fraternity. It was founded in 1927 at UCLA, making it one of the oldest national fraternities in the United States that have retained its Christian values. ΑΓΩ at UC Berkeley was founded in 1938 and is the second oldest chapter of ΑΓΩ. There are currently eleven active chapters. ΑΓΩ maintains a close relationship with its Christian ""sister"" sorority Alpha Delta Chi. ΑΓΩ exists for the following reasons: 1. To win others to a saving knowledge of Jesus Christ 2. To promote Christian fellowship 3. To present Christian ideals in word and deed 4. To search reverently for the truth 5. To uphold the traditions and ideals of the university 6. And to deepen the spiritual lives of the members.",,Active,,alphagammaomega,https://callink.berkeley.edu/organization/alphagammaomega,CalGreeks Interfraternity Council (IFC) Fraternities,We are UC Berkeley's only Christ-centered fraternity. We believe that we are to love & serve our university and Greek community as Jesus loved & served us.
